,Rank,isIP,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,Domain_http,LongURL,TinyURL,Label
129,0,0,1,0,0,0,0,1,0,0,0,0
130,0,0,1,0,0,0,0,0,0,0,0,0
131,1,0,0,1,0,0,0,0,0,0,0,1
132,0,0,0,1,0,0,0,1,0,0,0,1
133,1,0,0,1,0,0,0,0,0,0,0,0
134,1,0,0,1,0,0,0,0,0,1,0,1
135,0,0,1,0,0,0,1,1,0,0,0,1
136,0,0,1,0,0,0,0,0,0,0,0,0
137,1,0,1,0,0,0,0,0,0,1,0,1
138,0,0,1,0,0,0,0,1,0,0,0,0
139,1,0,0,1,0,0,0,0,0,0,1,1
140,1,0,0,1,0,0,0,0,0,0,0,1
141,1,0,1,0,0,0,0,0,0,0,0,1
142,0,0,1,0,0,0,0,0,0,0,0,0
143,1,0,0,1,1,0,0,1,0,1,0,1
144,1,0,0,1,0,0,0,1,0,1,0,1
145,1,0,0,1,0,0,0,1,0,0,0,1
146,0,0,1,0,0,0,0,0,0,0,0,0
147,1,0,1,0,0,0,0,1,0,1,0,1
148,1,0,0,1,0,0,1,0,0,0,0,1
149,1,0,0,1,0,0,0,1,0,0,0,0
150,1,0,1,0,0,0,0,1,0,0,1,1
151,1,0,0,1,0,0,0,1,0,1,1,1
152,1,0,0,1,0,0,0,0,0,1,0,1
153,1,0,1,0,0,0,0,1,0,0,0,0
154,0,0,1,0,0,0,0,1,0,0,0,0
155,1,0,0,1,0,0,0,0,0,0,0,1
156,0,0,1,0,0,0,0,0,0,0,0,0
157,0,0,0,1,0,0,0,1,0,0,0,0
158,0,0,1,0,0,0,0,0,0,1,0,1
159,0,0,0,1,0,0,0,0,0,0,0,0
160,1,0,1,0,0,0,0,1,0,1,0,1
161,1,0,0,1,0,0,0,0,0,0,0,0
162,0,0,0,1,0,0,0,0,0,0,0,0
163,0,0,1,0,0,0,0,1,0,0,0,0
164,0,0,1,0,0,0,0,1,0,0,1,0
165,0,0,0,1,0,0,0,0,0,0,0,0
166,1,0,0,1,0,0,1,0,0,0,0,1
167,1,0,0,1,0,0,0,0,0,0,0,0
168,1,0,0,1,0,0,0,1,0,1,0,1
169,1,0,1,0,0,0,0,1,0,1,0,0
170,1,0,0,1,0,0,0,1,0,1,0,1
171,1,0,1,0,0,0,0,0,0,0,0,1
172,1,0,1,0,0,0,0,1,0,0,0,0
173,1,0,0,1,0,0,1,1,0,1,0,1
174,0,0,1,0,0,0,1,1,0,1,0,1
175,1,0,1,0,0,0,0,1,0,1,0,1
176,1,0,0,1,0,0,0,0,0,0,0,1
177,1,0,0,1,0,0,0,1,0,1,0,1
178,0,0,1,0,0,0,0,1,0,0,0,0
179,1,0,0,1,0,0,0,1,0,1,0,1
180,0,0,1,0,0,0,0,1,0,0,0,0
181,0,0,1,0,0,0,0,0,0,0,0,1
182,1,0,1,0,0,0,0,0,0,1,0,1
183,1,0,0,1,0,0,0,0,0,0,0,0
184,1,0,0,1,0,0,0,1,0,0,0,0
185,1,0,0,1,0,0,1,1,0,0,0,1
186,0,0,1,0,0,0,1,1,0,1,0,1
187,0,0,1,0,0,0,0,0,0,0,0,0
188,1,0,0,1,0,0,1,1,0,1,0,1
189,1,0,0,1,0,0,0,1,0,0,0,1
190,1,0,1,0,0,0,0,1,0,1,0,1
191,0,0,1,0,0,0,0,0,0,1,0,1
192,1,0,0,1,0,0,0,0,0,0,0,1
193,1,0,0,1,0,0,0,1,0,0,0,0
194,0,0,0,1,0,0,0,1,0,0,0,0
195,0,0,1,0,0,0,0,0,0,0,0,0
196,1,0,0,1,0,0,0,0,0,0,0,0
197,1,0,0,1,0,1,0,0,0,0,0,1
198,1,0,1,0,0,0,0,1,0,0,0,0
199,1,0,1,0,0,0,0,1,0,1,0,1
200,0,0,1,0,0,0,1,1,0,1,0,1
201,1,0,1,0,0,0,0,1,0,0,0,1
202,1,0,0,1,0,0,0,0,0,0,0,0
203,0,0,1,0,0,0,0,0,0,0,0,1
204,1,0,0,1,0,0,0,1,0,0,0,1
205,1,0,1,0,0,0,0,0,0,1,0,1
206,1,0,0,1,0,0,0,1,0,0,0,1
207,0,0,1,0,0,0,0,0,0,0,0,0
208,1,0,0,1,0,0,0,0,0,1,0,1
209,0,0,1,0,0,0,0,1,0,1,1,0
210,0,0,0,1,0,0,1,1,0,0,0,0
211,0,0,1,0,0,0,0,0,0,0,0,0
212,0,0,1,0,0,0,1,1,0,1,0,1
213,1,0,0,1,0,0,1,0,0,1,0,1
214,1,0,0,1,0,0,1,1,0,1,0,1
215,1,0,0,1,0,0,0,0,0,1,0,1
216,0,0,0,1,0,0,0,0,0,0,0,0
217,1,0,0,1,0,0,0,1,0,1,0,1
218,1,0,1,0,0,0,1,1,0,1,0,1
219,0,0,1,0,0,0,0,0,0,0,0,0
220,1,0,0,1,0,0,0,0,0,1,0,1
221,1,0,1,0,0,0,0,1,0,0,0,0
222,1,0,0,1,0,0,0,1,0,1,0,1
223,1,0,0,1,0,0,0,1,0,1,0,1
224,0,0,1,0,0,0,0,0,0,0,0,0
225,1,0,0,1,0,0,0,0,0,1,0,1
226,1,0,0,1,0,0,0,1,0,1,0,1
227,1,0,0,1,0,0,0,0,0,0,0,1
228,0,0,1,0,0,0,0,0,0,0,0,0
229,1,0,0,1,0,0,0,1,0,1,0,1
230,1,0,1,0,0,0,0,0,0,0,0,0
231,0,0,0,1,0,0,0,1,0,1,0,0
232,0,0,1,0,0,0,0,1,0,0,1,0
233,1,0,0,1,0,0,0,1,0,1,0,1
234,1,0,0,1,0,0,0,1,0,0,0,1
235,0,0,1,0,0,0,0,0,0,0,0,0
236,1,0,1,0,0,0,0,1,0,1,0,1
237,1,0,0,1,0,0,0,0,0,1,0,1
238,1,0,0,1,0,0,0,0,0,0,0,1
239,0,0,1,0,0,0,0,0,0,0,0,0
240,1,0,1,0,0,0,0,1,0,0,0,0
241,1,0,1,0,0,0,0,1,0,1,1,1
242,0,0,1,0,0,0,0,0,0,0,0,0
243,1,0,0,1,0,0,0,0,0,0,0,1
244,1,0,1,0,0,0,0,0,0,0,0,1
245,0,0,0,1,0,0,0,1,0,1,0,0
246,1,0,0,1,0,0,0,1,0,1,0,1
247,1,0,0,1,0,0,0,1,0,0,0,1
248,0,0,1,0,0,0,0,0,0,1,0,0
249,1,0,1,0,0,0,0,0,0,0,0,0
250,0,0,0,1,0,0,0,0,0,0,0,0
251,0,0,0,1,0,0,0,0,0,0,0,0
252,0,0,1,0,0,0,0,0,0,1,0,0
253,1,0,0,1,0,0,0,0,0,0,0,0
254,0,0,1,0,0,0,0,0,0,0,0,0
255,0,0,0,1,0,0,0,1,0,0,0,0
256,0,0,0,1,0,0,0,0,0,0,0,0
257,1,0,0,1,0,0,0,0,0,0,0,0
258,1,0,1,0,0,0,0,1,0,0,0,0
259,0,0,1,0,0,0,0,0,0,0,0,1
260,1,0,1,0,0,0,1,0,0,1,1,1
261,1,0,0,1,0,0,0,0,0,0,0,0
262,1,0,1,0,0,0,0,0,0,0,0,0
263,0,0,1,0,0,0,0,0,0,0,0,0
264,1,0,0,1,0,0,0,0,0,0,0,1
265,1,0,1,0,0,0,1,1,0,0,0,0
266,1,0,1,0,0,0,0,0,0,0,0,0
267,1,0,1,0,0,0,0,0,0,0,0,1
268,0,0,1,0,0,0,0,1,0,1,0,0
269,1,0,1,0,0,0,0,0,0,1,0,1
270,1,0,1,0,0,0,0,0,0,0,0,1
271,1,0,0,1,0,0,0,1,0,0,0,0
272,0,0,1,0,0,0,0,1,0,0,0,0
273,0,0,0,1,0,0,0,0,0,0,0,0
274,0,0,1,0,0,0,0,0,0,1,0,0
275,1,0,0,1,0,0,0,1,0,1,0,1
276,1,0,1,0,0,0,0,1,0,1,0,0
277,0,0,0,1,0,0,0,1,0,0,0,0
278,1,0,1,0,0,0,0,1,0,0,0,1
279,1,0,1,0,0,0,0,1,0,0,0,0
280,0,0,0,1,0,0,1,1,0,0,0,0
281,1,0,0,1,0,0,0,1,0,1,0,1
282,1,0,1,0,0,0,0,1,0,0,0,0
283,0,0,0,1,0,0,1,0,0,0,0,0
284,0,0,1,0,0,0,1,0,0,0,0,0
285,0,0,1,0,0,0,1,1,0,1,0,1
286,0,0,1,0,0,0,0,0,0,1,0,0
287,0,0,1,0,0,0,0,0,0,0,0,0
288,1,0,1,0,0,0,0,0,0,0,0,0
289,1,0,0,1,0,0,0,0,0,1,0,1
290,0,0,1,0,0,0,0,0,0,1,0,0
291,1,0,0,1,0,0,0,0,0,1,0,1
292,1,0,1,0,0,0,0,0,0,0,0,0
293,1,0,1,0,0,0,0,0,0,0,1,0
294,0,0,1,0,0,0,0,0,0,0,0,1
295,1,0,1,0,0,0,0,1,0,0,0,0
296,0,0,1,0,0,0,0,0,0,0,0,0
297,1,0,0,1,0,0,0,0,0,1,0,1
298,1,0,1,0,0,0,0,0,0,0,0,0
299,0,0,1,0,0,0,0,1,0,0,0,0
300,0,0,1,0,0,0,0,1,0,0,0,0
301,1,0,1,0,0,0,0,0,0,0,0,0
302,1,0,1,0,0,0,0,1,0,1,0,1
303,0,0,1,0,0,0,0,1,0,0,0,0
304,1,0,1,0,0,0,0,0,0,1,0,1
305,0,0,0,1,0,0,0,1,0,0,0,0
306,1,0,0,1,0,0,0,0,0,1,0,1
307,0,0,1,0,0,0,0,0,0,0,0,0
308,1,0,0,1,0,0,0,1,0,0,0,0
309,1,0,0,1,0,0,0,1,0,0,0,1
310,0,0,0,1,0,0,0,1,0,0,0,0
311,0,0,1,0,0,0,0,1,0,1,0,0
312,0,0,1,0,0,0,0,0,0,0,0,0
313,1,0,1,0,0,0,0,1,0,0,0,0
314,1,0,0,1,0,0,0,0,0,0,0,1
315,1,0,1,0,0,0,1,1,0,1,1,1
316,0,0,0,1,0,0,0,0,0,0,0,0
317,1,0,0,1,0,0,0,1,0,1,0,1
318,0,0,1,0,0,0,0,0,0,0,0,0
319,1,0,1,0,0,0,0,0,0,0,0,0
320,1,0,0,1,0,0,0,1,0,0,0,1
321,1,0,1,0,0,0,0,0,0,1,0,1
322,1,0,1,0,0,0,0,0,0,0,0,1
323,1,0,1,0,0,0,1,0,0,1,0,1
324,1,0,0,1,0,0,0,0,0,1,0,1
325,1,0,0,1,0,0,0,1,0,0,0,1
326,1,0,0,1,0,0,0,1,0,0,0,0
327,1,0,1,0,0,0,0,1,0,1,0,1
328,1,0,0,1,0,0,0,0,0,1,0,1
329,0,0,1,0,0,0,0,0,0,0,0,0
330,1,0,1,0,0,0,0,1,0,0,0,0
331,1,0,0,1,0,0,0,0,0,0,0,0
332,1,0,1,0,0,0,0,1,0,1,0,0
333,0,0,1,0,0,0,0,0,0,0,0,1
334,1,0,0,1,0,0,0,1,0,1,0,1
335,1,0,0,1,0,0,0,0,0,1,0,1
336,1,0,0,1,0,0,0,0,0,1,0,1
337,1,0,0,1,0,0,0,0,0,0,0,0
338,1,0,1,0,0,0,0,1,0,0,1,1
339,0,0,1,0,0,0,0,1,0,0,0,1
340,1,0,1,0,0,0,0,1,0,0,0,0
341,1,0,0,1,0,0,0,0,0,1,0,1
342,0,0,1,0,0,0,0,1,0,0,0,0
343,1,0,0,1,0,0,0,0,0,1,0,1
344,0,0,1,0,0,0,0,1,0,0,0,0
345,1,0,0,1,0,0,1,1,0,1,0,1
346,1,0,1,0,0,0,1,0,0,1,0,1
347,1,0,1,0,0,0,0,1,0,0,0,0
348,1,0,1,0,0,0,0,1,0,1,0,1
349,1,0,1,0,0,0,0,1,0,0,0,0
350,0,0,1,0,0,0,1,1,0,1,0,1
351,0,0,1,0,0,0,0,1,0,0,0,0
352,1,0,0,1,0,0,0,1,0,0,0,1
353,1,0,0,1,0,0,1,0,0,0,0,1
354,0,0,1,0,0,0,0,0,0,0,0,0
355,1,0,1,0,0,0,0,1,0,1,0,1
356,1,0,1,0,0,0,0,1,0,0,0,0
357,1,0,1,0,0,0,0,1,0,0,0,0
358,0,0,0,1,0,0,0,1,0,0,0,0
359,1,0,1,0,0,0,1,1,0,1,0,1
360,1,0,1,0,0,0,0,0,0,0,0,1
361,1,0,1,0,0,0,0,1,0,0,1,0
362,1,0,0,1,0,0,1,1,0,1,0,1
363,1,0,1,0,0,0,1,0,0,1,0,1
364,1,0,0,1,0,0,0,1,0,0,0,1
365,0,0,1,0,0,0,0,1,0,0,0,0
366,0,0,0,1,0,0,0,0,0,0,0,0
367,1,0,1,0,0,0,0,0,0,0,0,1
368,0,0,1,0,0,0,0,1,0,1,0,0
369,1,0,1,0,0,0,0,0,0,0,0,0
370,1,0,0,1,0,0,1,1,0,1,0,1
371,1,0,1,0,0,0,0,1,0,0,0,1
372,1,0,0,1,0,0,1,0,0,1,0,1
373,1,0,1,0,0,0,0,1,0,0,0,0
374,0,0,0,1,0,0,0,1,0,0,0,0
375,0,0,0,1,0,0,0,1,0,0,0,0
376,1,0,0,1,0,0,1,0,0,0,0,1
377,1,0,1,0,0,0,0,0,0,0,0,0
378,1,0,1,0,0,0,0,0,0,1,0,1
379,1,0,1,0,0,0,0,0,0,0,0,1
380,1,0,1,0,0,0,0,1,0,1,0,1
381,1,0,1,0,0,1,0,0,0,0,0,1
382,1,0,0,1,0,0,0,0,0,0,0,0
383,1,0,1,0,0,0,0,1,0,1,0,1
384,0,0,1,0,0,0,1,1,0,1,0,1
385,1,0,1,0,0,0,0,1,0,0,1,0
386,1,0,1,0,0,0,0,1,0,1,0,1
387,1,0,0,1,0,0,1,1,0,1,0,1
388,1,0,0,1,0,0,0,1,0,1,0,1
389,1,0,0,1,0,0,1,1,0,1,0,1
390,0,0,1,0,0,0,0,0,0,0,0,0
391,0,0,1,0,0,0,0,0,0,0,0,0
392,0,0,0,1,0,0,0,1,0,0,0,0
393,0,0,0,1,0,0,0,1,0,1,0,1
394,0,0,1,0,0,0,0,0,0,1,0,0
395,1,0,1,0,0,0,0,1,0,0,0,0
396,1,0,1,0,0,0,0,1,0,1,0,1
397,1,0,0,1,0,0,0,1,0,1,0,1
398,1,0,1,0,0,0,0,1,0,1,0,1
399,1,0,0,1,0,0,0,0,0,0,0,1
400,1,0,0,1,0,0,0,0,0,0,0,1
401,0,0,1,0,0,0,0,1,0,0,0,0
402,0,0,0,1,0,0,1,1,0,1,0,0
403,1,0,0,1,0,0,0,1,0,1,0,1
404,0,0,1,0,0,0,0,1,0,0,0,0
405,1,0,0,1,0,0,0,0,0,1,0,1
406,1,0,0,1,0,0,0,1,0,1,0,1
407,0,0,0,1,0,0,0,0,0,0,0,0
408,0,0,1,0,0,0,0,0,0,0,0,0
409,0,0,0,1,0,0,0,0,0,0,0,0
410,0,0,0,1,0,0,0,1,0,0,0,0
411,1,0,0,1,0,0,1,0,0,1,0,1
412,0,0,1,0,0,0,0,1,0,0,0,0
413,0,0,1,0,0,0,0,0,0,0,0,0
414,1,0,1,0,0,0,0,1,0,0,0,1
415,1,0,0,1,1,0,0,1,0,1,1,1
416,0,0,1,0,0,0,0,0,0,1,0,0
417,0,0,1,0,0,0,0,0,0,0,0,0
418,1,0,0,1,0,0,0,1,0,0,0,0
419,1,0,1,0,0,0,0,1,0,0,0,0
420,1,0,0,1,1,0,1,0,0,1,0,1
421,1,0,0,1,0,0,0,0,0,1,0,1
422,1,0,1,0,0,0,0,1,0,1,0,1
423,1,0,1,0,0,0,0,0,0,1,0,0
424,1,0,1,0,0,0,0,0,0,0,0,1
425,1,0,0,1,0,0,0,0,0,0,0,1
426,0,0,1,0,0,0,0,1,0,0,0,0
427,1,0,1,0,0,0,0,0,0,0,0,1
428,0,0,1,0,0,0,0,0,0,0,0,1
429,1,0,1,0,0,0,0,0,0,0,0,0
430,1,0,1,0,0,0,0,1,0,1,0,1
431,1,0,0,1,0,0,0,0,0,1,0,1
432,1,0,1,0,0,0,0,0,0,1,0,1
433,1,0,1,0,0,0,0,1,0,1,0,1
434,0,0,0,1,0,0,0,0,0,0,0,0
435,1,0,1,0,0,0,0,1,0,0,0,1
436,0,0,1,0,0,0,0,1,0,0,0,0
437,1,0,0,1,0,0,0,0,0,0,0,0
438,1,0,1,0,0,0,0,1,0,1,0,1
439,1,0,1,0,0,0,0,0,0,0,0,0
440,0,0,1,0,0,0,0,1,0,1,0,0
441,1,0,0,1,0,0,0,1,0,1,0,1
442,1,0,0,1,0,0,0,0,0,0,0,0
443,1,0,0,1,0,0,1,1,0,1,0,1
444,1,0,1,0,0,0,0,1,0,0,0,1
445,1,0,1,0,0,0,0,1,0,1,1,1
446,0,0,1,0,0,0,1,1,0,0,0,0
447,1,0,1,0,0,0,0,1,0,1,0,1
448,1,0,1,0,0,0,0,0,0,0,0,0
449,1,0,0,1,0,0,0,1,0,0,0,1
450,1,0,1,0,0,0,0,0,0,0,0,0
451,0,0,1,0,0,0,0,0,0,0,0,0
452,1,0,0,1,0,0,1,0,0,0,0,1
453,0,0,1,0,0,0,1,1,0,1,0,1
454,0,0,0,1,0,0,0,1,0,0,0,0
455,1,0,1,0,0,0,0,1,0,1,1,1
456,0,0,1,0,0,0,0,0,0,0,0,0
457,0,0,1,0,0,0,0,0,0,0,0,0
458,0,0,0,1,0,0,0,1,0,1,0,0
459,0,0,1,0,0,0,1,1,0,1,0,1
460,1,0,1,0,0,0,0,1,0,0,0,1
461,1,0,1,0,0,0,0,0,0,0,0,1
462,0,0,1,0,0,0,0,1,0,0,0,0
463,0,0,1,0,0,0,0,1,0,0,0,0
464,0,0,0,1,0,0,0,1,0,0,0,0
465,0,0,1,0,0,0,1,1,0,1,0,1
466,1,0,0,1,0,0,0,0,0,1,0,1
467,0,0,1,0,0,0,1,1,0,1,0,1
468,0,0,1,0,0,0,0,1,0,0,0,0
469,1,0,0,1,0,0,0,1,0,0,0,1
470,0,0,1,0,0,0,0,0,0,0,0,0
471,0,0,1,0,0,0,0,0,0,0,0,0
472,1,0,1,0,0,0,0,0,0,0,0,1
473,1,0,0,1,0,0,0,0,0,0,0,1
474,1,0,0,1,0,0,0,1,0,0,0,0
475,1,0,0,1,0,0,0,0,0,0,0,1
476,1,0,0,1,0,0,1,1,0,1,0,1
477,0,0,1,0,0,0,0,1,0,1,0,0
478,1,0,0,1,0,0,0,0,0,0,0,1
479,1,0,0,1,0,0,1,1,0,1,0,1
480,1,0,1,0,0,0,0,0,0,1,0,1
481,0,0,1,0,0,0,0,0,0,0,0,0
482,1,0,1,0,0,0,1,1,0,1,0,1
483,1,0,0,1,0,0,0,0,0,0,0,1
484,1,0,0,1,0,0,1,1,0,1,0,1
485,0,0,1,0,0,0,0,0,0,1,0,0
486,1,0,1,0,0,0,1,1,0,0,0,0
487,1,0,0,1,0,0,0,1,0,0,0,1
488,0,0,0,1,0,0,0,1,0,0,0,0
489,1,0,1,0,0,0,0,0,0,1,0,0
490,0,0,1,0,0,0,0,0,0,0,0,0
491,0,0,1,0,0,0,0,0,0,0,0,0
492,0,0,0,1,0,0,0,0,0,1,0,0
493,1,0,1,0,0,0,0,1,0,0,0,1
494,0,0,0,1,0,0,0,0,0,0,0,0
495,0,0,1,0,0,0,0,1,0,0,0,0
496,1,0,0,1,0,0,0,0,0,0,0,0
497,0,0,1,0,0,0,0,1,0,0,0,0
498,0,0,1,0,0,0,0,1,0,0,1,0
499,1,0,1,0,0,0,0,0,0,0,0,0
500,1,0,1,0,0,0,0,1,0,1,0,1
501,0,0,1,0,0,0,0,0,0,0,0,1
502,1,0,1,1,0,0,0,1,0,0,0,1
503,1,0,1,0,0,0,0,1,0,0,0,0
504,1,0,1,0,0,0,0,1,0,0,0,0
505,0,0,0,1,0,0,0,1,0,0,0,0
506,1,0,0,1,0,0,0,0,0,1,0,1
507,1,0,0,1,0,0,0,1,0,0,0,1
508,1,0,0,1,0,0,0,0,0,0,0,1
509,1,0,0,1,0,0,1,0,0,0,0,1
510,1,0,0,1,0,0,0,1,0,0,0,0
511,1,0,1,0,0,0,0,0,0,1,0,1
512,1,0,1,0,0,0,0,1,0,0,0,0
513,1,0,0,1,0,0,0,0,0,0,0,0
514,1,0,1,0,0,0,0,0,0,0,0,1
515,1,0,0,1,0,0,1,1,0,1,0,1
516,0,0,1,0,0,0,0,1,0,0,1,1
517,1,0,1,0,0,0,0,0,0,0,0,0
518,0,0,0,1,0,0,0,0,0,0,0,0
519,0,0,1,0,0,0,0,0,0,0,0,0
520,1,0,1,0,0,0,0,1,0,0,0,0
521,0,0,1,0,0,0,0,0,0,0,0,0
522,1,0,0,1,0,0,1,0,0,1,0,1
523,0,0,0,1,0,0,0,1,0,0,0,0
524,1,0,1,0,0,0,0,0,0,0,0,0
525,1,0,1,0,0,0,0,0,0,0,0,0
526,1,0,0,1,0,0,0,0,0,0,1,0
527,0,0,1,0,0,0,0,0,0,0,0,0
528,1,0,1,0,0,0,0,0,0,0,1,0
529,1,0,0,1,0,0,0,1,0,0,1,1
530,1,0,0,1,0,0,0,1,0,0,0,1
